Corso di Laurea,Livello,Dipartimento,Classe,Accesso,Lingua,Sede
ARCHEOLOGIA E STORIA DELL'ARTE,Triennale / Ciclo Unico,CIVILTA' ANTICHE E MODERNE,L-1 - Classe delle lauree in Beni culturali,Libero,italiano,MESSINA
"BENI ARCHEOLOGICI: TERRITORIO, INSEDIAMENTI, CULTURA MATERIALE",Triennale / Ciclo Unico,CIVILTA' ANTICHE E MODERNE,L-1 - Classe delle lauree in Beni culturali,Libero,italiano,NOTO
BIG DATA PER LE SCIENZE ECONOMICE,Triennale / Ciclo Unico,ECONOMIA,L-33 - Scienze economiche,Libero,italiano,MESSINA
BIOTECNOLOGIE,Triennale / Ciclo Unico,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",L-2 R - Biotecnologie,Programmato,inglese italiano,MESSINA
CHIMICA,Triennale / Ciclo Unico,"SCIENZE CHIMICHE, BIOLOGICHE, FARMACEUTICHE E AMBIENTALI",L-27 R - Scienze e tecnologie chimiche,Libero,italiano,MESSINA
CHIMICA E TECNOLOGIA FARMACEUTICHE,Triennale / Ciclo Unico,"SCIENZE CHIMICHE, BIOLOGICHE, FARMACEUTICHE E AMBIENTALI",LM-13 R - Farmacia e farmacia industriale,Libero,italiano,MESSINA
CONSULENTE DEL LAVORO E SCIENZE DEI SERVIZI GIURIDICI,Triennale / Ciclo Unico,GIURISPRUDENZA,L-14 R - Scienze dei servizi giuridici,Libero,italiano,MESSINA
CONSULENTE DEL LAVORO E SCIENZE DEI SERVIZI GIURIDICI,Triennale / Ciclo Unico,GIURISPRUDENZA,L-14 R - Scienze dei servizi giuridici,Libero,italiano,SIRACUSA
DIRITTO DELLE NUOVE TECNOLOGIE,Triennale / Ciclo Unico,SCIENZE POLITICHE E GIURIDICHE,L-14 R - Scienze dei servizi giuridici,Libero,italiano,MESSINA
"DISCIPLINE DELLE ARTI, DELLA MUSICA E DELLO SPETTACOLO",Triennale / Ciclo Unico,"SCIENZE COGNITIVE, PSICOLOGICHE, PEDAGOGICHE E DEGLI STUDI CULTURALI","L-3 R - Discipline delle arti figurative, della musica, dello spettacolo e della moda",Libero,italiano,MESSINA
ECONOMIA AZIENDALE,Triennale / Ciclo Unico,ECONOMIA,L-18 R - Scienze dell'economia e della gestione aziendale,Libero,italiano,MESSINA
"ECONOMIA, BANCA E FINANZA",Triennale / Ciclo Unico,ECONOMIA,L-33 R - Scienze economiche,Libero,italiano,MESSINA
FARMACIA,Triennale / Ciclo Unico,"SCIENZE CHIMICHE, BIOLOGICHE, FARMACEUTICHE E AMBIENTALI",LM-13 R - Farmacia e farmacia industriale,Libero,italiano,MESSINA
FILOSOFIA,Triennale / Ciclo Unico,CIVILTA' ANTICHE E MODERNE,L-5 R - Filosofia,Libero,italiano,MESSINA
FISICA,Triennale / Ciclo Unico,"SCIENZE MATEMATICHE E INFORMATICHE, SCIENZE FISICHE  E SCIENZE DELLA TERRA",L-30 R - Scienze e tecnologie fisiche,Libero,italiano,MESSINA
FISIOTERAPIA,Triennale / Ciclo Unico,MEDICINA CLINICA E SPERIMENTALE,L/SNT2 - Classe delle lauree in Professioni sanitarie della riabilitazione,Programmato,italiano,MESSINA
GIURISPRUDENZA,Triennale / Ciclo Unico,GIURISPRUDENZA,LMG/01 R - Classe delle lauree magistrali in giurisprudenza,Libero,italiano,MESSINA
GIURISPRUDENZA,Triennale / Ciclo Unico,GIURISPRUDENZA,LMG/01 R - Classe delle lauree magistrali in giurisprudenza,Libero,italiano,SIRACUSA
INFERMIERISTICA,Triennale / Ciclo Unico,MEDICINA CLINICA E SPERIMENTALE,"L/SNT1 - Classe delle lauree in Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Programmato,italiano,"MESSINA, SIRACUSA"
INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE),Triennale / Ciclo Unico,MEDICINA CLINICA E SPERIMENTALE,"L/SNT1 - Classe delle lauree in Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Programmato,italiano,SIRACUSA
INFERMIERISTICA PEDIATRICA,Triennale / Ciclo Unico,"PATOLOGIA UMANA DELL'ADULTO E DELL'ETA' EVOLUTIVA ""Gaetano Barresi""","L/SNT1 - Classe delle lauree in Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Programmato,italiano,MESSINA
INFORMATICA,Triennale / Ciclo Unico,"SCIENZE MATEMATICHE E INFORMATICHE, SCIENZE FISICHE  E SCIENZE DELLA TERRA",L-31 R - Scienze e tecnologie informatiche,Libero,inglese italiano,MESSINA
INGEGNERIA BIOMEDICA,Triennale / Ciclo Unico,INGEGNERIA,L-8 R - Ingegneria dell'informazione,Libero,italiano,MESSINA
INGEGNERIA CIVILE,Triennale / Ciclo Unico,INGEGNERIA,L-7 R - Ingegneria civile e ambientale,Libero,inglese italiano,MESSINA
INGEGNERIA ELETTRONICA E INFORMATICA,Triennale / Ciclo Unico,INGEGNERIA,L-8 R - Ingegneria dell'informazione,Libero,italiano,MESSINA
INGEGNERIA GESTIONALE,Triennale / Ciclo Unico,INGEGNERIA,L-9 R - Ingegneria industriale,Libero,italiano,MESSINA
INGEGNERIA INDUSTRIALE,Triennale / Ciclo Unico,INGEGNERIA,L-9 R - Ingegneria industriale,Libero,italiano,MESSINA
